AI Agents | Virtuals Protocol | virtuals-protocol | 24h=27497 | 7d=150634 | 30d=438465 | allTime=2556217
Bridge Aggregator | LI.FI Bridge Aggregator | li.fi-bridge-aggregator | 24h=0 | 7d=0 | 30d=0 | allTime=0
Chain | Robinhood Chain | robinhood-chain | 24h=3751220 | 7d=8122834 | 30d=10304589 | allTime=13992172.42
Cross Chain Bridge | Across | across | 24h=246 | 7d=0 | 30d=1176 | allTime=2136.4300000000003
Cross Chain Bridge | fly.trade | fly.trade | 24h=6129 | 7d=4605 | 30d=4605 | allTime=10734
DePIN | prism | prism | 24h=0 | 7d=3.48 | 30d=23.700000000000003 | allTime=23.700000000000003
Derivatives | Arcus Perps | arcus-perps | 24h=12003 | 7d=78736 | 30d=326050 | allTime=326050
Derivatives | Lighter Robinhood Perps | lighter-robinhood-perps | 24h=43569 | 7d=240309 | 30d=741328 | allTime=748557
Derivatives | Mesha | mesha | 24h=0 | 7d=0 | 30d=2962.29 | allTime=2986.89
DEX Aggregator | Definitive | definitive | 24h=26699 | 7d=105250 | 30d=124329 | allTime=124329
DEX Aggregator | DropSwap | dropswap | 24h=0.02 | 7d=0.08 | 30d=0.09000000000000001 | allTime=0.5400000000000001
DEX Aggregator | Epsilon | epsilon | 24h=11.62 | 7d=11.91 | 30d=11.92 | allTime=23.54
DEX Aggregator | House of Joshi | house-of-joshi | 24h=0 | 7d=0 | 30d=0 | allTime=0
DEX Aggregator | KyberSwap Aggregator | kyberswap-aggregator | 24h=7381 | 7d=201551 | 30d=304693 | allTime=459606
DEX Aggregator | Rialto Aggregator | rialto-aggregator | 24h=1591 | 7d=7262 | 30d=16871 | allTime=35712.39
Dexs | 1inch Aqua | 1inch-aqua | 24h=361 | 7d=4916 | 30d=27840.96 | allTime=33451.94
Dexs | Alandale V3 | alandale-v3 | 24h=9547 | 7d=40047 | 30d=45545.49 | allTime=55092.49
Dexs | BrownFi V3 | brownfi-v3 | 24h=null | 7d=305.24 | 30d=346.23 | allTime=346.23
Dexs | Catnip | catnip | 24h=4.34 | 7d=54.85 | 30d=1188.2599999999998 | allTime=1724.38
Dexs | Clutch Anvil AMM | clutch-anvil-amm | 24h=55698 | 7d=143727 | 30d=279311 | allTime=335009
Dexs | Curve DEX | curve-dex | 24h=199 | 7d=221.45 | 30d=483870.64 | allTime=490061.09
Dexs | Deepstate | deepstate | 24h=193 | 7d=32245 | 30d=162165 | allTime=162358
Dexs | Ekubo | ekubo | 24h=1885 | 7d=11114 | 30d=34005 | allTime=38411
Dexs | Fables | fables | 24h=15776 | 7d=50186 | 30d=51154.16 | allTime=66930.16
Dexs | FrothSwap | frothswap | 24h=0 | 7d=0 | 30d=0 | allTime=7335.4800000000005
Dexs | Gate Swap Spot | gate-swap-spot | 24h=23.45 | 7d=123.27 | 30d=646.47 | allTime=1010.0799999999997
Dexs | GIGA V2 | giga-v2 | 24h=1613 | 7d=3054.4300000000003 | 30d=4289.63 | allTime=6613.610000000001
Dexs | GIGA V3 | giga-v3 | 24h=21189 | 7d=58898 | 30d=115976 | allTime=174105.05
Dexs | Hoodit | hoodit | 24h=1.2 | 7d=12.569999999999999 | 30d=30.979999999999997 | allTime=592.4799999999999
Dexs | KOLSwap | kolswap | 24h=0 | 7d=0 | 30d=0 | allTime=0
Dexs | LiquidCore | liquidcore | 24h=0 | 7d=0 | 30d=8.04 | allTime=11246.91
Dexs | Morpheus | morpheus | 24h=0.07 | 7d=0.56 | 30d=1.8000000000000003 | allTime=1.8000000000000003
Dexs | Orvex | orvex | 24h=2786 | 7d=10329 | 30d=22333 | allTime=22599.73
Dexs | PancakeSwap AMM | pancakeswap-amm | 24h=6.27 | 7d=11.389999999999999 | 30d=35.34 | allTime=1027.7
Dexs | PancakeSwap AMM V3 | pancakeswap-amm-v3 | 24h=275 | 7d=1656 | 30d=4633.530000000001 | allTime=68087.55
Dexs | ParitySwap V2 | parityswap-v2 | 24h=0.75 | 7d=6.68 | 30d=30.149999999999995 | allTime=31.409999999999997
Dexs | ParitySwap V3 | parityswap-v3 | 24h=0.01 | 7d=12.06 | 30d=1488.34 | allTime=2373.420000000001
Dexs | Ramses CL V2 | ramses-cl-v2 | 24h=137023 | 7d=582771 | 30d=747944 | allTime=747944
Dexs | Ramses DLMM | ramses-dlmm | 24h=33173 | 7d=121094 | 30d=197464 | allTime=213540
Dexs | Ramses Legacy V2 | ramses-legacy-v2 | 24h=1840 | 7d=16354.05 | 30d=16585.8 | allTime=18425.8
Dexs | Raphael Exchange | raphael-exchange | 24h=491 | 7d=487 | 30d=487 | allTime=978
Dexs | RobinSwap V2 | robinswap-v2 | 24h=4.79 | 7d=77.41 | 30d=158.5 | allTime=168.30999999999997
Dexs | RobinSwap V3 | robinswap-v3 | 24h=217 | 7d=1286 | 30d=2324.96 | allTime=4038.01
Dexs | SectorOne DLMM | sectorone-dlmm | 24h=139 | 7d=1186.18 | 30d=2302.41 | allTime=2302.41
Dexs | Sheriff V2 | sheriff-v2 | 24h=0.55 | 7d=8.540000000000001 | 30d=14.89 | allTime=25.5
Dexs | Sheriff V3 | sheriff-v3 | 24h=50.8 | 7d=435.40999999999997 | 30d=3509.8800000000006 | allTime=11852.74
Dexs | STONX | stonx | 24h=1538 | 7d=9704 | 30d=34685 | allTime=38509
Dexs | SushiSwap V3 | sushiswap-v3 | 24h=4136 | 7d=97092 | 30d=612091 | allTime=727377
Dexs | SwapHood V2 | swaphood-v2 | 24h=11.11 | 7d=54.11 | 30d=328.2700000000001 | allTime=15693.78
Dexs | SwapHood V3 | swaphood-v3 | 24h=28.46 | 7d=270.60999999999996 | 30d=1718.8700000000003 | allTime=18507.050000000003
Dexs | Uniswap V2 | uniswap-v2 | 24h=147665 | 7d=1149638 | 30d=2740715 | allTime=10283226
Dexs | Uniswap V3 | uniswap-v3 | 24h=2241102 | 7d=9579107 | 30d=23229746 | allTime=61364709
Dexs | Uniswap V4 | uniswap-v4 | 24h=6589804 | 7d=22255271 | 30d=44706237 | allTime=72620127
Dexs | up v2 | up-v2 | 24h=4226 | 7d=17469 | 30d=68668.22 | allTime=74345
Dexs | up v3 | up-v3 | 24h=192097 | 7d=711505 | 30d=1519155 | allTime=1834640
