11-docs-readme.md	https://docs.flap.sh/flap/readme	Brief Overview of Flap	1622
12-docs-flap-official-links.md	https://docs.flap.sh/flap/flap-official-links	Flap Official Links	518
13-docs-developers.md	https://docs.flap.sh/flap/developers	Developers	1249
14-docs-developers-deployed-contract-addresses.md	https://docs.flap.sh/flap/developers/deployed-contract-addresses	Deployed Contract Addresses	8488
15-docs-developers-basic-and-mechanism.md	https://docs.flap.sh/flap/developers/basic-and-mechanism	Basic & Mechanism	1100
16-docs-developers-basic-and-mechanism-bonding-curve.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/bonding-curve	Bonding Curve	5021
17-docs-developers-basic-and-mechanism-list-on-dex.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/list-on-dex	Migrated To DEX	3319
18-docs-developers-basic-and-mechanism-portal-vs-vaultportal.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/portal-vs-vaultportal	Portal vs VaultPortal	1422
19-docs-developers-basic-and-mechanism-protocol-economics.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/protocol-economics	protocol-economics	1252
20-docs-developers-basic-and-mechanism-flap-tax-token.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/flap-tax-token	Flap Tax Token	867
21-docs-developers-basic-and-mechanism-flap-tax-token-prebond-tax.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/flap-tax-token/prebond-tax	PreBond Tax	1333
22-docs-developers-basic-and-mechanism-flap-tax-token-tax-token-v1.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/flap-tax-token/tax-token-v1	Tax Token V1	1686
23-docs-developers-basic-and-mechanism-flap-tax-token-tax-token-v2.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/flap-tax-token/tax-token-v2	Tax Token V2	3636
24-docs-developers-basic-and-mechanism-flap-tax-token-tax-token-v3.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/flap-tax-token/tax-token-v3	Tax Token V3	19893
25-docs-developers-basic-and-mechanism-flap-tax-token-tax-liquidation-mechanis.md	https://docs.flap.sh/flap/developers/basic-and-mechanism/flap-tax-token/tax-liquidation-mechanism	Tax Liquidation Mechanism	16155
26-docs-developers-wallet-and-terminal-and-bot-developers.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers	Wallet & Terminal & Bot Developers	1984
27-docs-developers-wallet-and-terminal-and-bot-developers-a-quick-start-for-wa.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers/a-quick-start-for-wallet-terminal-bot-developers	A Quick Start For Wallet & Terminal & Bot Developers	2287
28-docs-developers-wallet-and-terminal-and-bot-developers-deployed-contract-ad.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers/deployed-contract-addresses	Deployed Contract Addresses	442
29-docs-developers-wallet-and-terminal-and-bot-developers-index-token-created-.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers/index-token-created-events	Index Token Created Events	5671
30-docs-developers-wallet-and-terminal-and-bot-developers-indexing-vaults.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers/indexing-vaults	Indexing Vault Factories & Vaults	5306
31-docs-developers-wallet-and-terminal-and-bot-developers-indexing-vaults-inde.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers/indexing-vaults/index-and-query-a-stocks-vault	Index & Query a Stocks Vault	5949
32-docs-developers-wallet-and-terminal-and-bot-developers-bonding-curve-in-dev.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers/bonding-curve-in-developers-perspective	Bonding Curve In Developers' Perspective	8103
33-docs-developers-wallet-and-terminal-and-bot-developers-inspect-a-token.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers/inspect-a-token	Inspect A Token	16298
34-docs-developers-wallet-and-terminal-and-bot-developers-parse-token-meta.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers/parse-token-meta	Parse Token Meta	2465
35-docs-developers-wallet-and-terminal-and-bot-developers-token-version-specif.md	https://docs.flap.sh/flap/developers/wallet-and-terminal-and-bot-developers/token-version-specification	Token Version Specification	6846
