0xa217fddf DEFAULT_ADMIN_ROLE()
0xb3f00674 feeReceiver()
0xced72f87 getFee()
0xd3e867da getMaxCallbackGas()
0xc58343ef getRequest(uint256)
0x3fad1834 getRequestCount()
0x13e369c9 getRequests(uint256[])
0x420751f8 getRequestsByRequesterPaginated(address,uint256,uint256)
0x8c3871a5 getRequestsPaginated(uint256,uint256)
0x248a9ca3 getRoleAdmin(bytes32)
0x2f2ff15d grantRole(bytes32,address)
0x91d14854 hasRole(bytes32,address)
0x7a1ac61e initialize(address,uint256,uint256)
0xb4edff63 isRequestReady(uint256)
0x36568abe renounceRole(bytes32,address)
0x22529519 requestTrigger(uint64)
0xec30472d retryTrigger(uint256)
0xd547741f revokeRole(bytes32,address)
0x9db13415 setMaxCallbackGas(uint256)
0x87a34453 setRequiredGasFee(uint256)
0x01ffc9a7 supportsInterface(bytes4)
0x91b21468 TRIGGER_ROLE()
0xed684cc6 trigger(uint256)
0xc39b4b6b triggerMultiple(uint256[])
