auctions.table.filter.placeholder	Filter auctions
claim.thanks	Thanks for being part of the Uniswap community <heart />
claim.uni.arrived	UNI has arrived
common.about	About
common.accept	Accept
common.active	Active
common.activeNetworks	Active networks
common.activity	Activity
common.add.label	Add
common.add.liquidity.canceled	Add liquidity canceled
common.addLiquidity	Add liquidity
common.address	Address
common.address.chain	{{chainName}} address
common.addressOrENS	Wallet address or ENS name
common.addresses.count_one	{{count}} address
common.addresses.count_other	{{count}} addresses
common.advanced	Advanced
common.ago	ago
common.all	All
common.allTime	All time
common.amount	Amount
common.and	and
common.app	App
common.approvePending	Approval pending
common.approvePermitTx	Approve request {{indexText}}
common.approvePermitTx.active	Approve request{{indexText}} in wallet
common.approvePermitTx.explainer	What are Permit2 approvals?
common.approvePermitTx.pending	Approving request {{indexText}}...
common.approveSpend	Approve {{symbol}}
common.approved	Approved
common.approvedSpend	Approved {{symbol}}
common.approving	Approving
common.areYouSure	Are you sure?
common.auctions	Auctions
common.auto	Auto
common.availableOnIOSAndroidChrome	Available on iOS, Android, and Chrome
common.bestRoute	Route
common.bestRoute.with	Route via {{provider}}
common.beta	Beta
common.biometrics.generic	Biometrics
common.biometrics.touchId	Touch ID
common.biometrics.windowsHello	Windows Hello
common.blocked.ifError	If you believe this is an error, please send an email including your address to <emailAddress />
common.blocked.reason	This address is blocked on the Uniswap Labs interface because it is associated with one or more <link>blocked activities</link>.
common.blockedAddress	Blocked address
common.blog	Blog
common.bought	Bought
common.brandAssets	Brand assets
common.browserExtension	Browser extension
common.bugBounty	Bug bounty
common.button.accept	Accept
common.button.back	Back
common.button.buy	Buy
common.button.cancel	Cancel
common.button.close	Close
common.button.confirm	Confirm
common.button.connect	Connect
common.button.continue	Continue
common.button.copied	Copied
common.button.copy	Copy
common.button.create	Create
common.button.delete	Delete
common.button.disable	Disable
common.button.disabling	Disabling
common.button.disconnect	Disconnect
common.button.dismiss	Dismiss
common.button.done	Done
common.button.edit	Edit
common.button.enable	Enable
common.button.finish	Finish
common.button.goBack	Go back
common.button.hide	Hide
common.button.later	Maybe later
common.button.learn	Learn more
common.button.next	Next
common.button.notNow	Not now
common.button.ok	OK
common.button.paste	Paste
common.button.pay	Pay
common.button.proceed	Proceed
common.button.receive	Receive
common.button.reject	Reject
common.button.remove	Remove
common.button.reset	Reset
common.button.resetGas	Reset Gas
common.button.retry	Retry
common.button.reveal	Reveal
common.button.review	Review
common.button.save	Save
common.button.scrollDown	Scroll down
common.button.search	Search
common.button.sell	Sell
common.button.send	Send
common.button.setup	Set up
common.button.share	Share
common.button.show	Show
common.button.showLess	Show less
common.button.showMore	Show more
common.button.sign	Sign
common.button.signOut	Sign out
common.button.skip	Skip
common.button.swap	Swap
common.button.tryAgain	Try again
common.button.understand	I understand
common.button.unlock	Unlock
common.button.view	View
common.button.viewDetails	View details
common.button.yes	Yes
common.buy.label	Buy
common.buyAndSell	Buy and sell on Uniswap
common.cancelOrder	Cancel order
common.cancellationSubmitted	Cancellation submitted
common.cancellationSuccessful	Cancellation successful
common.card.error.description	Something went wrong
common.card.error.title	Oops! Something went wrong.
common.careers	Careers
common.chain	Chain
common.chain.networkCost	{{chain}} network cost
common.chart	Chart
common.chromeExtension	Extension
common.claim.failed	Claim failed
common.claimUnis	Claim your UNI tokens
common.claimed	Claimed
common.claiming	Claiming
common.clear	Clear
common.close	Close
common.closed	Closed
common.collect.button	Collect
common.comingSoon	Coming soon
common.commodities	Commodities
common.company	Company
common.confirm	Confirm
common.confirmCancellation	Confirm cancellation
common.confirmSend.button	Confirm send
common.confirmSwap	Confirm swap in wallet
common.confirmTimedOut	Confirmation timed out. Please retry.
common.confirmTransfer	Confirm transfer
common.confirmWallet	Confirm in wallet
common.conjunction.and	{{first}} and {{second}}
common.connect.button	Connect
common.connectAWallet.button	Connect a wallet
common.connectAWallet.button.evm	Connect Ethereum wallet
common.connectAWallet.button.evm.switch	Switch Ethereum wallet
common.connectAWallet.button.svm	Connect Solana wallet
common.connectAWallet.button.svm.switch	Switch Solana wallet
common.connectAWallet.button.switch	Switch wallet
common.connectTo	Connect to {{platform}}
common.connectWallet.button	Connect wallet
common.contactUs.button	Contact us
common.copied	Copied
common.copy.address	Copy address
common.copy.poolId	Copy pool ID
common.copyLink.button	Copy link
common.createPosition	Create position
common.created.date	Created {{date}}
common.currency	Currency
common.current	Current
common.currentPrice	Current price
common.custom	Custom
common.customRange	Custom range
common.dataOutdated	Data may be outdated
common.day	day
